time,x,y,z,yaw,yaw_estimated
7.100,22.556,0.156,-75.738,0.006,1.846
7.200,22.852,0.150,-76.819,0.007,1.883
7.300,23.171,0.138,-78.012,0.009,1.922
7.400,23.468,0.133,-79.097,0.011,1.965
7.500,23.768,0.129,-80.181,0.013,2.015
7.600,24.104,0.124,-81.373,0.015,2.071
7.700,24.406,0.117,-82.460,0.017,2.118
7.800,24.711,0.107,-83.549,0.018,2.151
7.900,25.048,0.097,-84.752,0.020,2.181
8.000,25.357,0.092,-85.847,0.021,2.214
8.100,25.661,0.086,-86.944,0.022,2.255
8.200,25.996,0.080,-88.149,0.022,2.293
8.300,26.292,0.062,-89.240,0.022,2.288
8.400,26.588,0.047,-90.328,0.022,2.319
8.500,26.915,0.029,-91.522,0.022,2.350
8.600,27.213,0.015,-92.607,0.021,2.381
8.700,27.511,0.002,-93.689,0.019,2.419
8.800,27.839,-0.011,-94.877,0.016,2.451
8.900,28.140,-0.024,-95.952,0.014,2.480
9.000,28.473,-0.032,-97.132,0.011,2.509
9.100,28.777,-0.038,-98.203,0.009,2.537
9.200,29.086,-0.038,-99.273,0.006,2.566
9.300,29.428,-0.032,-100.447,0.004,2.588
9.400,29.738,-0.029,-101.512,0.002,2.612
9.500,30.051,-0.029,-102.577,0.000,2.637
9.600,30.384,-0.035,-103.750,-0.000,2.666
9.700,30.687,-0.039,-104.816,-0.000,2.696
9.800,30.980,-0.035,-105.889,0.000,2.732
9.900,31.311,-0.031,-107.068,0.001,2.772
10.000,31.603,-0.024,-108.146,0.002,2.806
10.100,31.901,-0.021,-109.223,0.002,2.845
10.200,32.225,-0.018,-110.410,0.003,2.883
10.300,32.523,-0.017,-111.485,0.004,2.930
10.400,32.824,-0.012,-112.560,0.004,2.980
10.500,33.151,0.010,-113.742,0.005,3.037
10.600,33.443,0.025,-114.806,0.005,3.076
10.700,33.730,0.041,-115.868,0.005,3.110
10.800,34.052,0.048,-117.033,0.005,3.140
10.900,34.341,0.063,-118.092,0.005,3.134
11.000,34.626,0.072,-119.148,0.005,3.174
11.100,34.933,0.085,-120.307,0.005,3.216
11.200,35.217,0.093,-121.356,0.005,3.254
11.300,35.501,0.100,-122.402,0.005,3.289
11.400,35.789,0.101,-123.538,0.004,3.330
11.500,36.058,0.099,-124.569,0.004,3.364
11.600,36.353,0.100,-125.699,0.003,3.358
11.700,36.627,0.088,-126.718,0.003,3.352
11.800,36.886,0.085,-127.736,0.002,3.346
11.900,37.190,0.083,-128.855,0.002,3.384
12.000,37.439,0.089,-129.879,0.002,3.414
12.100,37.701,0.086,-130.895,0.002,3.448
12.200,37.985,0.086,-132.009,0.001,3.485
12.300,38.252,0.087,-133.019,0.001,3.479
12.400,38.521,0.082,-134.023,0.001,3.516
12.500,38.817,0.078,-135.126,0.001,3.555
12.600,39.094,0.082,-136.130,0.001,3.593
12.700,39.365,0.090,-137.134,0.001,3.641
12.800,39.666,0.091,-138.226,0.001,3.687
12.900,39.939,0.100,-139.223,0.001,3.726
13.000,40.211,0.103,-140.212,0.000,3.762
13.100,40.505,0.102,-141.289,-0.000,3.802
13.200,40.779,0.091,-142.253,-0.001,3.832
13.300,41.057,0.077,-143.210,-0.001,3.868
13.400,41.364,0.063,-144.258,-0.002,3.905
13.500,41.643,0.056,-145.208,-0.002,3.898
13.600,41.946,0.054,-146.250,-0.003,3.934
13.700,42.215,0.055,-147.192,-0.004,3.928
13.800,42.486,0.054,-148.132,-0.005,3.922
13.900,42.779,0.049,-149.155,-0.007,3.917
14.000,43.047,0.041,-150.080,-0.009,3.946
14.100,43.312,0.033,-150.995,-0.010,3.940
14.200,43.603,0.028,-151.989,-0.013,3.976
14.300,43.866,0.026,-152.880,-0.015,4.014
14.400,44.127,0.027,-153.760,-0.016,4.053
14.500,44.413,0.029,-154.712,-0.018,4.048
14.600,44.671,0.030,-155.564,-0.020,4.043
14.700,44.925,0.029,-156.404,-0.022,4.038
14.800,45.204,0.026,-157.311,-0.024,4.033
14.900,45.452,0.011,-158.122,-0.026,4.028
15.000,45.722,-0.002,-158.999,-0.028,4.023
15.100,45.963,-0.013,-159.782,-0.029,4.051
15.200,46.202,-0.021,-160.550,-0.031,4.047
15.300,46.460,-0.026,-161.378,-0.032,4.078
15.400,46.693,-0.029,-162.113,-0.034,4.109
15.500,46.922,-0.032,-162.833,-0.034,4.142
15.600,47.168,-0.037,-163.605,-0.035,4.176
15.700,47.385,-0.043,-164.289,-0.036,4.204
15.800,47.598,-0.049,-164.953,-0.037,4.234
15.900,47.827,-0.054,-165.665,-0.038,4.262
16.000,48.029,-0.056,-166.291,-0.039,4.294
16.100,48.224,-0.057,-166.900,-0.041,4.324
16.200,48.435,-0.057,-167.550,-0.042,4.352
16.300,48.621,-0.058,-168.123,-0.044,4.379
16.400,48.804,-0.061,-168.680,-0.046,4.402
16.500,48.999,-0.065,-169.276,-0.049,4.419
16.600,49.170,-0.068,-169.799,-0.052,4.438
16.700,49.359,-0.069,-170.362,-0.055,4.435
16.800,49.533,-0.069,-170.863,-0.058,4.455
16.900,49.709,-0.053,-171.355,-0.062,4.471
17.000,49.882,-0.053,-171.866,-0.065,4.488
17.100,50.045,-0.055,-172.304,-0.067,4.506
17.200,50.213,-0.053,-172.725,-0.070,4.524
17.300,50.409,-0.046,-173.172,-0.073,4.544
17.400,50.573,-0.030,-173.582,-0.075,4.564
17.500,50.730,-0.016,-173.978,-0.076,4.581
17.600,50.896,0.000,-174.397,-0.077,4.597
17.700,51.028,0.011,-174.727,-0.077,4.613
17.800,51.163,0.016,-175.075,-0.074,4.629
17.900,51.298,0.021,-175.422,-0.071,4.645
18.000,51.433,0.027,-175.770,-0.068,4.661
18.100,51.569,0.032,-176.117,-0.065,4.678
18.200,51.704,0.037,-176.465,-0.062,4.696
18.300,51.782,0.044,-176.674,-0.057,4.713
18.400,51.883,0.047,-176.946,-0.050,4.731
18.500,51.966,0.046,-177.175,-0.042,4.747
18.600,52.041,0.046,-177.390,-0.033,4.764
18.700,52.117,0.047,-177.607,-0.023,4.780
18.800,52.178,0.046,-177.790,-0.014,4.797
18.900,52.233,0.045,-177.958,-0.004,4.813
19.000,52.287,0.043,-178.128,0.006,4.831
19.100,52.329,0.045,-178.265,0.015,4.847
19.200,52.369,0.044,-178.398,0.025,4.862
19.300,52.411,0.042,-178.541,0.037,4.879
19.400,52.447,0.040,-178.672,0.049,4.896
19.500,52.483,0.038,-178.803,0.061,4.915
19.600,52.520,0.040,-178.948,0.076,4.935
19.700,52.551,0.040,-179.079,0.088,4.954
19.800,52.579,0.041,-179.206,0.102,4.974
19.900,52.610,0.052,-179.354,0.117,4.995
20.000,52.647,0.072,-179.489,0.132,5.016
20.100,52.666,0.085,-179.631,0.148,5.039
20.200,52.701,0.102,-179.796,0.168,5.064
20.300,52.715,0.106,-179.953,0.188,5.090
20.400,52.726,0.101,-180.120,0.210,5.121
20.500,52.726,0.098,-180.325,0.237,5.155
20.600,52.736,0.104,-180.541,0.264,5.193
20.700,52.722,0.103,-180.766,0.294,5.235
20.800,52.711,0.107,-181.035,0.329,5.281
20.900,52.676,0.107,-181.290,0.364,5.329
21.000,52.636,0.106,-181.561,0.400,5.375
21.100,52.571,0.106,-181.869,0.441,5.422
21.200,52.504,0.104,-182.159,0.481,5.469
21.300,52.424,0.100,-182.459,0.523,5.517
21.400,52.313,0.088,-182.793,0.570,5.566
21.500,52.201,0.077,-183.109,0.614,5.611
21.600,52.072,0.071,-183.440,0.658,5.659
21.700,51.912,0.065,-183.811,0.707,5.708
21.800,51.735,0.060,-184.154,0.750,5.759
21.900,51.538,0.059,-184.501,0.793,5.813
22.000,51.305,0.067,-184.893,0.838,5.870
22.100,51.073,0.071,-185.255,0.877,5.926
22.200,50.821,0.076,-185.624,0.916,5.979
22.300,50.514,0.084,-186.032,0.959,6.031
22.400,50.208,0.103,-186.409,0.999,6.082
22.500,49.887,0.138,-186.793,1.041,6.129
22.600,49.505,0.161,-187.206,1.086,6.172
22.700,49.124,0.180,-187.575,1.127,6.213
22.800,48.717,0.185,-187.932,1.166,6.255
22.900,48.236,0.193,-188.319,1.206,6.294
23.000,47.764,0.199,-188.664,1.238,6.331
23.100,47.212,0.194,-189.030,1.271,6.364
23.200,46.678,0.192,-189.352,1.298,6.398
23.300,46.127,0.200,-189.668,1.324,6.430
23.400,45.493,0.213,-190.009,1.353,6.463
23.500,44.899,0.225,-190.316,1.380,6.502
23.600,44.289,0.247,-190.617,1.405,6.542
23.700,43.605,0.260,-190.934,1.430,6.579
23.800,42.965,0.273,-191.210,1.450,6.610
23.900,42.310,0.281,-191.478,1.467,6.637
24.000,41.571,0.293,-191.767,1.483,6.662
24.100,40.885,0.301,-192.024,1.495,6.688
24.200,40.113,0.309,-192.299,1.505,6.715
24.300,39.394,0.311,-192.543,1.512,6.749
24.400,38.665,0.315,-192.787,1.518,6.774
24.500,37.859,0.323,-193.058,1.523,6.814
24.600,37.121,0.328,-193.303,1.527,6.845
24.700,36.379,0.335,-193.549,1.531,6.878
24.800,35.554,0.336,-193.816,1.535,6.906
24.900,34.795,0.339,-194.057,1.538,6.927
25.000,34.019,0.341,-194.296,1.540,6.952
25.100,33.148,0.352,-194.558,1.541,6.979
25.200,32.349,0.362,-194.797,1.541,7.008
25.300,31.459,0.380,-195.058,1.540,7.040
25.400,30.647,0.399,-195.306,1.539,7.075
25.500,29.835,0.416,-195.556,1.537,7.115
25.600,28.942,0.436,-195.835,1.535,7.157
25.700,28.120,0.450,-196.088,1.533,7.188
25.800,27.298,0.461,-196.347,1.532,7.186
25.900,26.392,0.459,-196.641,1.530,7.210
26.000,25.555,0.463,-196.909,1.528,7.236
26.100,24.715,0.466,-197.181,1.526,7.270
26.200,23.787,0.471,-197.485,1.524,7.299
26.300,22.934,0.478,-197.768,1.523,7.295
26.400,21.999,0.480,-198.085,1.520,7.317
26.500,21.144,0.479,-198.374,1.518,7.341
26.600,20.281,0.480,-198.666,1.516,7.367
26.700,19.405,0.484,-198.960,1.515,7.395
26.800,18.434,0.489,-199.289,1.513,7.427
26.900,17.549,0.495,-199.594,1.511,7.459
27.000,16.568,0.495,-199.930,1.509,7.484
27.100,15.676,0.500,-200.242,1.508,7.513
27.200,14.775,0.503,-200.555,1.506,7.509
27.300,13.781,0.508,-200.904,1.504,7.504
27.400,12.870,0.509,-201.223,1.501,7.540
27.500,11.956,0.509,-201.547,1.498,7.578
27.600,10.954,0.505,-201.911,1.495,7.614
27.700,10.039,0.499,-202.243,1.492,7.649
27.800,9.121,0.489,-202.582,1.489,7.685
27.900,8.107,0.480,-202.956,1.486,7.719
28.000,7.184,0.473,-203.297,1.483,7.753
28.100,6.261,0.470,-203.639,1.480,7.785
28.200,5.250,0.474,-204.024,1.476,7.822
28.300,4.327,0.487,-204.378,1.473,7.817
28.400,3.304,0.503,-204.772,1.470,7.812
28.500,2.381,0.506,-205.131,1.469,7.809
28.600,1.465,0.499,-205.490,1.466,7.837
28.700,0.459,0.491,-205.885,1.463,7.860
28.800,-0.458,0.487,-206.245,1.460,7.889
28.900,-1.376,0.486,-206.612,1.457,7.922
29.000,-2.385,0.484,-207.018,1.455,7.955
29.100,-3.309,0.485,-207.389,1.453,7.978
29.200,-4.233,0.491,-207.763,1.450,7.976
29.300,-5.251,0.505,-208.176,1.447,7.974
29.400,-6.179,0.517,-208.555,1.445,7.972
29.500,-7.210,0.549,-208.983,1.442,7.969
29.600,-8.130,0.543,-209.371,1.439,7.967
29.700,-9.059,0.554,-209.766,1.437,7.964
29.800,-10.087,0.553,-210.204,1.434,7.960
29.900,-11.029,0.552,-210.605,1.432,7.957
30.000,-11.971,0.542,-211.009,1.429,7.954
30.100,-13.006,0.533,-211.456,1.426,7.951
30.200,-13.952,0.521,-211.865,1.423,7.948
30.300,-14.893,0.525,-212.274,1.421,7.946
30.400,-15.927,0.529,-212.727,1.418,7.943
30.500,-16.866,0.535,-213.144,1.415,7.940
30.600,-17.800,0.552,-213.563,1.413,7.938
30.700,-18.826,0.568,-214.019,1.410,7.934
30.800,-19.757,0.581,-214.436,1.408,7.931
30.900,-20.685,0.590,-214.854,1.406,7.928
31.000,-21.699,0.595,-215.318,1.404,7.954
31.100,-22.618,0.597,-215.741,1.402,7.981
31.200,-23.625,0.591,-216.205,1.399,7.979
31.300,-24.538,0.575,-216.627,1.397,7.975
31.400,-25.445,0.565,-217.049,1.395,7.972
31.500,-26.441,0.558,-217.514,1.393,7.970
31.600,-27.339,0.555,-217.937,1.391,7.995
31.700,-28.236,0.550,-218.359,1.388,7.993
31.800,-29.219,0.551,-218.824,1.386,7.990
31.900,-30.105,0.553,-219.249,1.384,7.987
32.000,-30.986,0.546,-219.674,1.382,7.984
32.100,-31.948,0.539,-220.142,1.380,8.010
32.200,-32.821,0.529,-220.565,1.378,8.034
32.300,-33.688,0.522,-220.987,1.376,8.031
32.400,-34.638,0.514,-221.450,1.374,8.027
32.500,-35.495,0.513,-221.872,1.372,8.024
32.600,-36.349,0.510,-222.294,1.370,8.021
32.700,-37.285,0.505,-222.757,1.367,8.017
32.800,-38.128,0.496,-223.180,1.365,8.014
32.900,-39.050,0.485,-223.647,1.362,8.040
33.000,-39.882,0.476,-224.072,1.360,8.037
33.100,-40.710,0.463,-224.497,1.357,8.058
33.200,-41.617,0.448,-224.963,1.354,8.086
33.300,-42.438,0.434,-225.386,1.350,8.117
33.400,-43.253,0.425,-225.813,1.345,8.114
33.500,-44.141,0.415,-226.286,1.340,8.111
33.600,-44.944,0.409,-226.715,1.335,8.108
33.700,-45.740,0.403,-227.146,1.330,8.105
33.800,-46.608,0.399,-227.622,1.324,8.102
33.900,-47.390,0.400,-228.057,1.319,8.099
34.000,-48.167,0.401,-228.494,1.315,8.095
34.100,-49.015,0.396,-228.973,1.310,8.092
34.200,-49.786,0.388,-229.408,1.307,8.089
34.300,-50.619,0.382,-229.890,1.303,8.110
34.400,-51.372,0.376,-230.328,1.300,8.130
34.500,-52.115,0.369,-230.762,1.298,8.153
34.600,-52.925,0.361,-231.236,1.296,8.176
34.700,-53.649,0.355,-231.663,1.294,8.200
34.800,-54.363,0.355,-232.087,1.292,8.196
34.900,-55.135,0.355,-232.549,1.291,8.193
35.000,-55.824,0.352,-232.963,1.290,8.190
35.100,-56.504,0.344,-233.372,1.289,8.187
35.200,-57.234,0.341,-233.816,1.290,8.210
35.300,-57.883,0.332,-234.209,1.291,8.207
35.400,-58.517,0.326,-234.594,1.293,8.231
35.500,-59.202,0.318,-235.006,1.294,8.255
35.600,-59.817,0.310,-235.372,1.295,8.277
35.700,-60.423,0.303,-235.733,1.296,8.297
35.800,-61.076,0.298,-236.123,1.298,8.322
35.900,-61.659,0.294,-236.470,1.299,8.350
36.000,-62.286,0.286,-236.846,1.302,8.375
36.100,-62.845,0.277,-237.176,1.306,8.404
36.200,-63.395,0.267,-237.499,1.310,8.433
36.300,-63.990,0.262,-237.845,1.314,8.462
36.400,-64.524,0.257,-238.153,1.318,8.487
36.500,-65.048,0.252,-238.453,1.321,8.514
36.600,-65.612,0.236,-238.772,1.325,8.542
36.700,-66.113,0.225,-239.054,1.328,8.571
36.800,-66.603,0.216,-239.326,1.330,8.595
36.900,-67.127,0.210,-239.613,1.333,8.621
37.000,-67.590,0.204,-239.865,1.336,8.644
37.100,-68.039,0.196,-240.107,1.339,8.666
37.200,-68.514,0.190,-240.362,1.342,8.687
37.300,-68.930,0.185,-240.583,1.343,8.705
37.400,-69.327,0.181,-240.794,1.344,8.720
37.500,-69.747,0.171,-241.012,1.343,8.718
37.600,-70.107,0.164,-241.202,1.341,8.716
37.700,-70.481,0.158,-241.401,1.337,8.714
37.800,-70.799,0.153,-241.574,1.334,8.712
37.900,-71.098,0.149,-241.740,1.330,8.711
38.000,-71.409,0.139,-241.908,1.326,8.709
38.100,-71.672,0.133,-242.051,1.322,8.707
38.200,-71.916,0.126,-242.185,1.319,8.705
38.300,-72.161,0.124,-242.325,1.316,8.703
38.400,-72.368,0.117,-242.442,1.313,8.702
38.500,-72.558,0.111,-242.549,1.311,8.700
38.600,-72.752,0.102,-242.655,1.308,8.699
38.700,-72.913,0.096,-242.745,1.306,8.698
38.800,-73.061,0.091,-242.828,1.304,8.696
38.900,-73.198,0.079,-242.915,1.302,8.695
39.000,-73.308,0.068,-242.984,1.301,8.693
39.100,-73.415,0.055,-243.050,1.300,8.692
39.200,-73.505,0.046,-243.102,1.298,8.691
39.300,-73.585,0.035,-243.149,1.297,8.690
39.400,-73.665,0.021,-243.197,1.296,8.689
39.500,-73.731,0.007,-243.236,1.295,8.688
39.600,-73.791,-0.002,-243.273,1.294,8.687
39.700,-73.851,-0.013,-243.309,1.294,8.686
39.800,-73.899,-0.020,-243.339,1.293,8.685
39.900,-73.939,-0.028,-243.368,1.292,8.684
40.000,-73.968,-0.031,-243.402,1.292,8.683
40.100,-73.986,-0.034,-243.425,1.292,8.682
40.200,-73.986,-0.037,-243.443,1.292,8.682
40.300,-73.983,-0.040,-243.456,1.292,8.681
40.400,-73.968,-0.047,-243.460,1.293,8.681
40.500,-73.949,-0.053,-243.457,1.293,8.681
40.600,-73.929,-0.059,-243.457,1.293,8.684
40.700,-73.917,-0.064,-243.458,1.293,8.687
40.800,-73.901,-0.070,-243.460,1.293,8.687
40.900,-73.889,-0.077,-243.460,1.293,8.686
41.000,-73.877,-0.083,-243.460,1.293,8.686
41.100,-73.866,-0.090,-243.461,1.293,8.686
41.200,-73.863,-0.098,-243.461,1.293,8.686
41.300,-73.872,-0.102,-243.457,1.293,8.686
41.400,-73.885,-0.101,-243.453,1.293,8.685
41.500,-73.905,-0.097,-243.451,1.293,8.685
41.600,-73.918,-0.093,-243.450,1.293,8.685
41.700,-73.934,-0.088,-243.450,1.293,8.685
41.800,-73.942,-0.087,-243.449,1.293,8.685
41.900,-73.962,-0.079,-243.448,1.292,8.685
42.000,-73.972,-0.075,-243.446,1.292,8.685
42.100,-73.980,-0.071,-243.445,1.292,8.685
42.200,-73.997,-0.060,-243.445,1.292,8.685
42.300,-74.007,-0.054,-243.443,1.292,8.685
42.400,-74.020,-0.048,-243.442,1.292,8.685
42.500,-74.029,-0.043,-243.440,1.292,8.685
42.600,-74.046,-0.036,-243.437,1.292,8.685
42.700,-74.057,-0.031,-243.436,1.292,8.701
42.800,-74.068,-0.027,-243.434,1.292,8.701
42.900,-74.075,-0.024,-243.433,1.292,8.701
43.000,-74.081,-0.021,-243.432,1.292,8.701
43.100,-74.086,-0.019,-243.432,1.292,8.701
43.200,-74.090,-0.017,-243.432,1.292,8.701
43.300,-74.095,-0.017,-243.432,1.292,8.701
43.400,-74.098,-0.018,-243.431,1.292,8.701
43.500,-74.101,-0.022,-243.430,1.292,8.702
43.600,-74.102,-0.025,-243.428,1.292,8.702
43.700,-74.103,-0.030,-243.425,1.292,8.702
43.800,-74.102,-0.031,-243.425,1.292,8.702
43.900,-74.102,-0.033,-243.425,1.292,8.702
44.000,-74.099,-0.038,-243.424,1.292,8.702
44.100,-74.098,-0.041,-243.424,1.292,8.702
44.200,-74.093,-0.046,-243.423,1.292,8.702
