class_1,confidence_1,x_loc_1,y_loc_1,width_1,height_1,h0_1,h1_1,h2_1,sat_1,val_1,class_2,confidence_2,x_loc_2,y_loc_2,width_2,height_2,h0_2,h1_2,h2_2,sat_2,val_2
1,1.00,1019.00,281.00,442.00,184.00,0.141,0.791,0.068,114.724,116.090,1,1.00,959.00,284.50,440.00,179.00,0.161,0.761,0.078,106.570,107.828
1,1.00,409.50,205.00,129.00,60.00,0.134,0.686,0.179,110.840,57.127,1,1.00,392.50,205.50,125.00,57.00,0.113,0.661,0.225,99.864,53.946
2,1.00,370.50,231.50,51.00,91.00,0.256,0.479,0.265,96.676,72.500,2,1.00,341.50,233.50,51.00,95.00,0.247,0.450,0.303,86.405,77.919
1,1.00,714.00,211.50,90.00,69.00,0.189,0.630,0.181,106.948,106.920,1,1.00,691.50,212.00,81.00,66.00,0.189,0.657,0.155,107.156,110.822
1,1.00,249.00,283.50,314.00,177.00,0.338,0.352,0.310,115.964,144.872,,1.00,190.50,283.00,343.00,180.00,0.347,0.363,0.291,111.028,135.979
1,1.00,941.50,281.50,361.00,183.00,0.216,0.628,0.156,89.154,74.353,1,1.00,877.50,280.00,323.00,182.00,0.220,0.631,0.149,83.539,77.292
1,1.00,766.50,231.50,141.00,93.00,0.190,0.637,0.173,100.366,94.499,1,1.00,735.00,232.50,126.00,93.00,0.179,0.671,0.150,96.371,97.678
1,1.00,747.50,191.50,93.00,39.00,0.234,0.641,0.125,97.318,132.585,1,1.00,735.00,190.00,98.00,36.00,0.295,0.588,0.118,91.353,136.133
1,1.00,606.00,249.50,488.00,215.00,0.131,0.613,0.256,70.593,95.488,1,1.00,553.50,251.50,473.00,219.00,0.124,0.612,0.265,65.131,95.015
1,1.00,628.50,238.50,137.00,133.00,0.114,0.448,0.439,86.100,34.917,1,1.00,585.50,240.50,139.00,133.00,0.083,0.452,0.465,80.255,35.788
1,1.00,1010.50,206.50,113.00,53.00,0.354,0.438,0.208,74.793,48.389,1,1.00,993.50,207.00,115.00,50.00,0.348,0.410,0.242,72.279,47.679
1,1.00,1096.00,207.00,124.00,48.00,0.313,0.514,0.173,75.248,79.118,1,1.00,1087.00,207.50,124.00,49.00,0.292,0.507,0.201,71.784,76.482
1,1.00,1157.50,208.50,121.00,49.00,0.274,0.551,0.175,79.360,81.186,1,1.00,1153.50,209.00,127.00,50.00,0.209,0.593,0.198,77.370,78.260
1,1.00,500.50,215.00,129.00,94.00,0.367,0.389,0.244,75.836,70.045,1,1.00,475.00,215.00,132.00,94.00,0.311,0.366,0.323,69.133,74.729
2,1.00,592.00,229.50,78.00,155.00,0.550,0.254,0.196,59.824,104.288,2,1.00,550.50,230.00,81.00,152.00,0.564,0.262,0.175,60.986,116.519
1,1.00,619.50,187.50,37.00,31.00,0.286,0.323,0.391,58.958,58.623,1,1.00,609.00,186.00,36.00,30.00,0.144,0.298,0.557,59.536,30.091
2,1.00,127.50,180.00,25.00,64.00,0.493,0.174,0.333,97.595,144.548,2,1.00,112.00,178.50,26.00,65.00,0.509,0.172,0.319,90.011,143.473
2,1.00,69.50,205.50,41.00,107.00,0.426,0.327,0.247,70.246,148.075,2,1.00,33.00,203.50,58.00,105.00,0.381,0.315,0.304,66.599,136.008
2,1.00,226.00,175.50,12.00,45.00,0.472,0.270,0.257,75.285,154.630,2,1.00,215.50,175.00,13.00,46.00,0.517,0.234,0.249,65.834,161.855
2,1.00,558.50,221.00,49.00,118.00,0.480,0.331,0.188,75.515,101.104,2,1.00,522.50,222.50,45.00,117.00,0.538,0.271,0.192,73.531,108.595
2,1.00,712.50,214.50,53.00,115.00,0.360,0.223,0.416,64.607,60.660,2,1.00,680.00,216.00,54.00,120.00,0.314,0.210,0.476,61.846,61.734
2,1.00,896.00,248.50,102.00,201.00,0.398,0.346,0.256,49.292,91.988,2,1.00,836.50,246.00,95.00,202.00,0.356,0.411,0.233,47.446,89.527
2,0.54,785.00,205.00,38.00,128.00,0.337,0.327,0.336,61.339,74.194,2,0.98,749.50,206.00,39.00,118.00,0.277,0.364,0.359,60.612,74.538
2,1.00,300.50,198.50,41.00,125.00,0.403,0.297,0.300,83.196,74.684,2,1.00,270.00,191.50,38.00,109.00,0.323,0.382,0.295,76.969,76.764
2,1.00,838.00,254.00,148.00,226.00,0.443,0.345,0.212,53.941,108.790,2,1.00,746.50,254.00,133.00,230.00,0.422,0.309,0.269,54.643,110.278
2,0.99,992.00,259.00,140.00,210.00,0.394,0.410,0.196,44.782,108.680,2,1.00,907.00,262.00,132.00,206.00,0.381,0.414,0.205,45.049,110.514
2,1.00,1100.00,245.50,140.00,245.00,0.403,0.348,0.249,53.954,93.702,2,0.99,1020.50,242.00,133.00,240.00,0.385,0.342,0.273,52.703,93.674
2,1.00,1179.00,244.50,90.00,243.00,0.424,0.294,0.282,49.378,97.235,2,1.00,1138.00,244.00,160.00,252.00,0.410,0.342,0.248,48.439,93.61
2,1.00,323.00,189.50,34.00,103.00,0.437,0.284,0.280,90.155,89.533,2,1.00,293.50,184.00,31.00,90.00,0.354,0.344,0.303,82.039,85.216
2,1.00,508.00,237.50,112.00,233.00,0.527,0.230,0.244,75.247,118.362,2,1.00,445.00,239.50,116.00,231.00,0.523,0.204,0.273,75.110,110.658
2,1.00,563.00,251.00,72.00,200.00,0.563,0.342,0.095,68.169,152.873,2,1.00,506.50,253.50,75.00,195.00,0.609,0.313,0.078,63.746,145.264
1,1.00,152.00,286.00,302.00,166.00,0.252,0.646,0.102,77.778,122.753,1,1.00,106.50,290.00,213.00,156.00,0.296,0.645,0.059,80.151,140.200
1,1.00,438.00,244.50,186.00,123.00,0.460,0.365,0.175,57.765,155.364,1,1.00,405.50,245.00,197.00,122.00,0.449,0.381,0.170,50.280,167.429
1,1.00,706.50,199.00,53.00,42.00,0.042,0.687,0.271,100.091,63.317,1,1.00,692.00,200.00,56.00,42.00,0.064,0.750,0.186,90.731,85.211
1,1.00,465.50,207.00,131.00,48.00,0.086,0.670,0.245,87.623,66.399,1,1.00,449.00,206.00,136.00,50.00,0.035,0.701,0.264,90.051,82.842
1,1.00,216.00,281.50,432.00,173.00,0.231,0.464,0.305,57.572,91.903,1,1.00,180.00,282.00,358.00,172.00,0.147,0.548,0.305,55.088,100.213
1,1.00,635.00,207.50,154.00,51.00,0.092,0.322,0.586,59.808,41.298,1,1.00,619.50,207.50,153.00,49.00,0.040,0.463,0.497,71.135,43.028
1,1.00,893.00,270.00,296.00,194.00,0.505,0.203,0.292,90.450,88.263,1,1.00,845.00,269.50,272.00,193.00,0.286,0.384,0.329,82.843,84.938
1,1.00,322.00,200.00,130.00,56.00,0.206,0.650,0.144,81.767,111.080,1,0.98,252.00,195.00,78.00,36.00,0.162,0.711,0.127,83.413,127.154
